序号	操作用户	操作时间	操作类型	操作内容	窗口名称	电脑IP	电脑名称	系统表名	
1	admin,系统管理员	2018/1/14 23:15:53	Insert	添加新部门【1】【玮之度】	部门管理	192.168.2.9	WIN-6	tb_Test_Sys_Department	
2	admin,系统管理员	2018/1/14 23:16:22	Insert	添加新部门【2】【研发中心】	部门管理	192.168.2.9	WIN-6	tb_Test_Sys_Department	
3	admin,系统管理员	2018/1/14 23:16:30	Insert	添加新部门【3】【软件开发】	部门管理	192.168.2.9	WIN-6	tb_Test_Sys_Department	
4	admin,系统管理员	2018/1/14 23:16:40	Insert	添加新部门【4】【行政中心】	部门管理	192.168.2.9	WIN-6	tb_Test_Sys_Department	
5	admin,系统管理员	2018/1/14 23:16:55	Insert	添加新部门【5】【人事部】	部门管理	192.168.2.9	WIN-6	tb_Test_Sys_Department	
6	admin,系统管理员	2018/1/14 23:21:24	Insert	添加用户【5】【6004】【小明】	用户设置	192.168.2.9	WIN-6	tb_Test_Sys_User	
7	admin,系统管理员	2018/1/14 23:27:17	Insert	添加用户【6】【6005】【小红】	用户设置	192.168.2.9	WIN-6	tb_Test_Sys_User	
8	admin,系统管理员	2018/1/14 23:30:14	Insert	添加新角色【1】【人事专员】	角色设置	192.168.2.9	WIN-6	tb_Test_Sys_Role	
9	admin,系统管理员	2018/1/14 23:30:35	Insert	添加新角色【2】【软件开发】	角色设置	192.168.2.9	WIN-6	tb_Test_Sys_Role	
10	admin,系统管理员	2018/1/17 23:30:25	Insert	添加功能【1】【Sys】【系统】【主菜单】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
11	admin,系统管理员	2018/1/18 22:21:41	Insert	添加功能【2】【frmSysDepartment】【部门管理】【窗口】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
12	admin,系统管理员	2018/1/18 22:21:59	Insert	添加功能【3】【frmSysUser】【用户设置】【窗口】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
13	admin,系统管理员	2018/1/18 22:22:16	Insert	添加功能【4】【frmSysRole】【角色设置】【窗口】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
14	admin,系统管理员	2018/1/18 22:22:30	Insert	添加功能【5】【frmSysFunc】【功能设置】【窗口】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
15	admin,系统管理员	2018/1/18 22:22:45	Insert	添加功能【6】【frmSysLog】【日志查看】【窗口】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
16	admin,系统管理员	2018/1/18 22:38:53	Insert	添加功能【7】【Command1】【添加用户】【按钮】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
17	admin,系统管理员	2018/1/18 22:39:48	Insert	添加功能【8】【Command2】【修改用户信息】【按钮】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
18	admin,系统管理员	2018/1/18 22:40:40	Insert	添加功能【9】【Command3】【用户角色指定结果保存】【按钮】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
19	admin,系统管理员	2018/1/18 22:43:32	Insert	添加功能【10】【Command1】【添加角色】【按钮】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
20	admin,系统管理员	2018/1/18 22:43:56	Insert	添加功能【11】【Command2】【修改角色信息】【按钮】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
21	admin,系统管理员	2018/1/18 22:44:45	Insert	添加功能【12】【Command3】【保存角色权限分配结果】【按钮】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
22	admin,系统管理员	2018/1/18 22:45:56	Insert	添加功能【13】【Combo1】【导入其他角色权限】【其它】	功能设置	192.168.2.9	WIN-6	tb_Test_Sys_Func	
